"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"154"	"Ichneumonidae"	"Art3"	"End"	229.196460084054	233.992248878212	236.960054487989
"155"	"Ichneumonidae"	"Art3"	"Onset"	187.729861591018	201.757227000324	215.288253929874
"156"	"Ichneumonidae"	"Art3"	"Peak"	206.007930665832	221.018554715024	231.159602391866
"157"	"Ichneumonidae"	"Art4"	"End"	226.523362930705	233.383848385153	236.843012867262
"158"	"Ichneumonidae"	"Art4"	"Onset"	179.155180010927	197.667040898737	211.735835309225
"159"	"Ichneumonidae"	"Art4"	"Peak"	202.135916183155	218.745633672277	230.329830518239
"160"	"Ichneumonidae"	"Art5"	"End"	218.128733124971	230.126560005373	236.12096839771
"161"	"Ichneumonidae"	"Art5"	"Onset"	163.025179284788	186.160024695325	197.985873969551
"162"	"Ichneumonidae"	"Art5"	"Peak"	197.676433655117	210.614794804347	225.683207982388
"163"	"Ichneumonidae"	"Art6"	"End"	235.323105583064	236.362852336065	237.402599089067
"164"	"Ichneumonidae"	"Art6"	"Onset"	212.215055973031	218.579884066845	224.944712160659
"165"	"Ichneumonidae"	"Art6"	"Peak"	225.201137942725	229.635462531866	234.069787121007
"166"	"Ichneumonidae"	"Art7"	"End"	203.374104379325	227.06298473647	232.629576299519
"167"	"Ichneumonidae"	"Art7"	"Onset"	172.675825879954	183.568513549698	196.66786963476
"168"	"Ichneumonidae"	"Art7"	"Peak"	187.931717573928	205.863901026957	214.042701989331
"169"	"Linyphiidae"	"Art1"	"End"	190.947199370548	222.187075079353	235.638756675937
"170"	"Linyphiidae"	"Art1"	"Onset"	155.518284949538	163.787371742825	187.89135152491
"171"	"Linyphiidae"	"Art1"	"Peak"	164.633622859048	193.62056058154	213.376076597315
"172"	"Linyphiidae"	"Art2"	"End"	207.128664312102	224.809542717194	234.568188138116
"173"	"Linyphiidae"	"Art2"	"Onset"	157.806254632575	163.755316893177	175.655440804653
"174"	"Linyphiidae"	"Art2"	"Peak"	179.031264017777	190.810566964972	209.166871095876
"175"	"Linyphiidae"	"Art3"	"End"	229.259046798917	232.588820023066	235.029445296811
"176"	"Linyphiidae"	"Art3"	"Onset"	163.339634314057	174.68308501034	191.552670057664
"177"	"Linyphiidae"	"Art3"	"Peak"	188.856789667936	202.735159685651	220.884816739003
"178"	"Linyphiidae"	"Art4"	"End"	231.156604885921	233.519987126878	235.795685358865
"179"	"Linyphiidae"	"Art4"	"Onset"	155.838768277314	174.517373304312	190.858866120553
"180"	"Linyphiidae"	"Art4"	"Peak"	174.1095446813	196.75173230422	215.992820037099
"181"	"Linyphiidae"	"Art5"	"End"	200.839583309955	225.474918402965	233.111968051152
"182"	"Linyphiidae"	"Art5"	"Onset"	155.244314792439	161.172741641656	169.717737819581
"183"	"Linyphiidae"	"Art5"	"Peak"	163.659786880868	183.305123039151	202.696929331699
"184"	"Linyphiidae"	"Art6"	"End"	196.875488650053	213.662922579357	229.35186686091
"185"	"Linyphiidae"	"Art6"	"Onset"	156.03739265945	183.20596792853	199.463151686511
"186"	"Linyphiidae"	"Art6"	"Peak"	169.605370617152	193.589561944034	212.99985035671
"187"	"Linyphiidae"	"Art7"	"End"	174.336473135538	217.261127491129	231.234612683861
"188"	"Linyphiidae"	"Art7"	"Onset"	157.416783024392	159.788441874911	164.449286212071
"189"	"Linyphiidae"	"Art7"	"Peak"	166.445274005176	182.710005428272	201.104718146057
"190"	"Lycosidae"	"Art2"	"End"	208.367547035174	222.145706675199	233.492617255053
"191"	"Lycosidae"	"Art2"	"Onset"	157.307243505805	179.660681459028	199.953633436328
"192"	"Lycosidae"	"Art2"	"Peak"	174.265831503279	200.073233012401	216.39467348152
"193"	"Lycosidae"	"Art3"	"End"	184.808583254649	224.249235498456	232.487009275065
"194"	"Lycosidae"	"Art3"	"Onset"	155.283947714777	173.586082860224	194.960659242281
"195"	"Lycosidae"	"Art3"	"Peak"	163.030767082248	195.883966904634	210.898340553713
"196"	"Lycosidae"	"Art4"	"End"	213.744169503911	226.193422034666	233.526436979093
"197"	"Lycosidae"	"Art4"	"Onset"	161.881056140598	177.95396200874	194.411391733555
